Order,Family,Genus,Scientific Name,Common Name,Vertical Station,Schooling Behaviour,Reference: VS,Reference: SB
Petromyzontiformes,Petromyzontidae,Ichthyomyzon,Ichthyomyzon fossor,Northern Brook Lamprey,demersal,non-schooling,FishBase,animaldiversity.org
Petromyzontiformes,Petromyzontidae,Ichthyomyzon,Ichthyomyzon unicuspis,Silver Lamprey,demersal,non-schooling,FishBase,animaldiversity.org
Siluriformes,Ictaluridae,Ictalurus,Ictalurus furcatus,Blue Catfish,demersal,NA,FishBase,NA
Siluriformes,Ictaluridae,Ictalurus,Ictalurus punctatus,Channel Catfish,demersal,non-schooling,FishBase,Encyclopedia of Life
Cypriniformes,Catostomidae,Ictiobus,Ictiobus bubalus,Smallmouth Buffalo,demersal,NA,FishBase,NA
Cypriniformes,Catostomidae,Ictiobus,Ictiobus cyprinellus,Bigmouth Buffalo,benthopelagic,schooling,FishBase,Scott and Crossman 1973
Cypriniformes,Catostomidae,Ictiobus,Ictiobus niger,Black Buffalo,demersal,non-schooling,FishBase,animaldiversity.org
Gobiiformes,Gobiidae,Knipowitchia,Knipowitchia caucasica,Caucasian Dwarf Goby,demersal,NA,FishBase,NA
Atheriniformes,Atherinopsidae,Labidesthes,Labidesthes sicculus,Brook Silverside,pelagic,schooling,FishBase,fishesoftexas.org
Petromyzontiformes,Petromyzontidae,Lampetra,Lampetra appendix,American Brook Lamprey,demersal,non-schooling,FishBase,animaldiversity.org
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus,Spotted Gar,demersal,non-schooling,FishBase,animaldiversity.org
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus,Longnose Gar,demersal,non-schooling,FishBase,New Mexico Department of Game and Fish
Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platostomus,Shortnose Gar,demersal,non-schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Lepomis,Lepomis auritus,Redbreast Sunfish,demersal,NA,FishBase,NA
Perciformes,Centrarchidae,Lepomis,Lepomis cyanellus,Green Sunfish,benthopelagic,non-schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus,Pumpkinseed,benthopelagic,non-schooling,FishBase,Ontario Environment and Energy
Perciformes,Centrarchidae,Lepomis,Lepomis humilis,Orangespotted Sunfish,benthopelagic,NA,FishBase,NA
Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus,Bluegill,benthopelagic,non-schooling,FishBase,Ontario Environment and Energy
Perciformes,Centrarchidae,Lepomis,Lepomis megalotis,Longear Sunfish,benthopelagic,non-schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Lepomis,Lepomis microlophus,Redear Sunfish,demersal,non-schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Lepomis,Lepomis peltastes,Northern Sunfish,benthopelagic,non-schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Lepomis,Lepomith gulosus,Warmouth,demersal,non-schooling,FishBase,Connecticut Department of Energy and Environmental Protection
Cypriniformes,Cyprinidae,Leuciscus,Leuciscus idus,Ide,benthopelagic,schooling,FishBase,CABI Invasive Species Compendium
Cypriniformes,Cyprinidae,Leuciscus,Leuciscus leuciscus,Eurasian Dace,benthopelagic,schooling,FishBase,Britannica
Gadiformes,Lotidae,Lota,Lota lota,Burbot,demersal,non-schooling,FishBase,BC Conservation Data Centre
Cypriniformes,Cyprinidae,Luxilus,Luxilus chrysocephalus,Striped Shiner,demersal,schooling,FishBase,Illinois DNR
Cypriniformes,Cyprinidae,Luxilus,Luxilus cornutus,Common Shiner,demersal,schooling,FishBase,Illinois DNR
Cypriniformes,Leuciscidae,Lythrurus,Lythrurus umbratilis,Redfin Shiner,benthopelagic,schooling,FishBase,Texas Parks and Wildlife
Cypriniformes,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana,Silver Chub,demersal,NA,FishBase,NA
Cypriniformes,Leuciscidae,Margariscus,Margariscus margarita,Allegheny Pearl Dace,demersal,schooling,FishBase,Cunningham 2006
Gadiformes,Gadidae,Microgadus,Microgadus tomcod,Atlantic Tomcod,demersal,NA,FishBase,NA
Perciformes,Centrarchidae,Micropterus,Micropterus dolomieu,Smallmouth Bass,benthopelagic,non-schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Micropterus,Micropterus salmoides,Largemouth Bass,benthopelagic,non-schooling,FishBase,animaldiversity.org
Cypriniformes,Catostomidae,Minytrema,Minytrema melanops,Spotted Sucker,demersal,NA,FishBase,NA
Perciformes,Moronidae,Morone,Morone americana,White Perch,benthopelagic,NA,FishBase,NA
Perciformes,Moronidae,Morone,Morone chrysops,White Bass,benthopelagic,NA,FishBase,NA
Perciformes,Moronidae,Morone,Morone mississippiensis,Yellow Bass,demersal,schooling,FishBase,Texas Parks and Wildlife
Perciformes,Moronidae,Morone,Morone saxatilis,Striped Bass,demersal,schooling,FishBase,COSEWIC 2004
Cypriniformes,Catostomidae,Moxostoma,Moxostoma anisurum,Silver Redhorse,demersal,NA,FishBase,NA
Cypriniformes,Catostomidae,moxostoma,moxostoma carinatum,River Redhorse,demersal,NA,FishBase,NA
Cypriniformes,Catostomidae,Moxostoma,Moxostoma duquesni,Black Redhorse,demersal,NA,FishBase,NA
Cypriniformes,Catostomidae,Moxostoma,Moxostoma erythrurum,Golden Redhorse,demersal,NA,FishBase,NA
